img,title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update
/games/boxart/8018756ccc.jpg,All-Star Baseball 2003,PS2,Sports,Acclaim Entertainment,Acclaim Entertainment,,0.77,0.38,,0.29,0.1,26-02-2002,
/games/boxart/full_abba-you-can-dance_60AmericaFront.jpg,ABBA: You Can Dance,Wii,Misc,Ubisoft,Ubisoft,,0.77,0.18,,0.5,0.1,15-11-2011,
/games/boxart/full_ufc-personal-trainer-the-ultimate-fitness-system_953AmericaFront.jpg,UFC Personal Trainer: The Ultimate Fitness System,X360,Sports,THQ,THQ,6,0.77,0.53,,0.18,0.06,28-06-2011,
/games/boxart/1209045ccc.jpg,Marvel Nemesis: Rise of the Imperfects,PS2,Fighting,Electronic Arts,Nihilistic Software,,0.77,0.64,,0.02,0.1,20-09-2005,
/games/boxart/604271ccc.jpg,Boxing,2600,Fighting,Activision,Activision,,0.77,0.72,,0.04,0.01,17-06-1980,
/games/boxart/full_4004513AmericaFrontccc.jpg,Dragon Ball: Raging Blast,PS3,Fighting,Namco Bandai,Spike,5.6,0.77,0.37,0.11,0.19,0.1,10-11-2009,
/games/boxart/full_8978515AmericaFrontccc.jpg,Caesars Palace 2000: Millennium Gold Edition,PS,Misc,Interplay,Runecraft,,0.77,0.43,,0.29,0.05,29-06-2000,
/games/boxart/5838699ccc.jpg,Pokémon Dash,DS,Racing,Nintendo,Ambrella,5.3,0.77,0.21,0.38,0.14,0.04,14-03-2005,
/games/boxart/6135649ccc.jpg,Dragon Warrior I&II,GB,Role-Playing,Enix,TOSE,,0.77,,0.77,,,27-09-2000,
/games/boxart/full_9596827AmericaFrontccc.jpg,Conker's Bad Fur Day,N64,Platform,Rare,Rare Ltd.,9.2,0.77,0.53,,0.22,0.02,04-03-2001,
/games/boxart/712131ccc.jpg,Maximo: Ghosts to Glory,PS2,Platform,Capcom,Capcom,8.7,0.77,0.38,,0.29,0.1,11-02-2002,
/games/boxart/full_85225AmericaFrontccc.jpg,Donkey Kong Country 3,GBA,Platform,Nintendo,Rare Ltd.,7.5,0.77,0.45,0.14,0.17,0.01,07-11-2005,
/games/boxart/full_3262847AmericaFrontccc.jpg,Persona 4 Arena,PS3,Fighting,Atlus,Arc System Works,,0.77,0.32,0.24,0.12,0.08,07-08-2012,11-01-2018
/games/boxart/full_37722AmericaFrontccc.jpg,Prototype 2,PS3,Action,Activision,Radical Entertainment,,0.77,0.38,,0.28,0.11,24-04-2012,
/games/boxart/full_air-raid_8AmericaFront.jpg,Air Raid,2600,Action,Men-A-Vision,Men-A-Vision,,0.77,0.72,,0.04,0.01,01-01-1982,
/games/boxart/full_5585867AmericaFrontccc.jpg,James Cameron's Avatar: The Game,X360,Action,Ubisoft,Ubisoft Montreal,6,0.77,0.34,,0.35,0.08,01-12-2009,
/games/boxart/7247256ccc.jpg,Crystal Castles,2600,Action,Atari,Atari,,0.77,0.72,,0.04,0.01,01-01-1984,
/games/boxart/full_6940022AmericaFrontccc.jpg,Fortnite,XOne,Action,Gearbox Software,Epic Games,,0.77,0.6,,0.09,0.08,21-07-2017,19-06-2018
/games/boxart/full_5231190AmericaFrontccc.jpg,Lips,X360,Misc,Microsoft Game Studios,iNiS,7.1,0.77,0.12,,0.56,0.1,18-11-2008,
/games/boxart/full_1163890AmericaFrontccc.jpg,Minecraft: Story Mode,XOne,Adventure,Mojang,Telltale Games,,0.77,0.46,,0.24,0.07,27-10-2015,13-01-2018
/games/boxart/7342805ccc.jpg,Twisted Metal: Head On,PSP,Action,Sony Computer Entertainment,Incognito Inc.,7.5,0.77,0.71,,0,0.06,24-03-2005,
/games/boxart/4029752ccc.jpg,Andretti Racing,PS,Racing,EA Sports,Stormfront Studios,7.3,0.77,0.43,,0.29,0.05,30-11-1996,
/games/boxart/full_4676347AmericaFrontccc.jpg,Need for Speed: Porsche Unleashed,PS,Racing,Electronic Arts,Eden Studios,,0.77,0.43,,0.29,0.05,29-02-2000,
/games/boxart/full_6800248AmericaFrontccc.jpg,Need for Speed: Undercover,PSP,Racing,Electronic Arts,Piranha Games,5.4,0.77,0.23,0.03,0.32,0.19,17-11-2008,
/games/boxart/full_the-sims-3_831AmericaFront.jpg,The Sims 3,3DS,Simulation,Electronic Arts,The Sims Studio,5.6,0.77,0.3,0.03,0.38,0.07,27-03-2011,
/games/boxart/5731431ccc.jpg,Galaxian,2600,Shooter,Atari,Atari,,0.77,0.72,,0.05,0.01,01-01-1983,
/games/boxart/full_resident-evil-operation-raccoon-city_399AmericaFront.jpg,Resident Evil: Operation Raccoon City,X360,Shooter,Capcom,Slant Six Games,,0.77,0.55,0.03,0.14,0.06,20-03-2012,
/games/boxart/full_4943807AmericaFrontccc.jpg,Lost Planet 2,X360,Shooter,Capcom,Capcom,6.5,0.76,0.38,0.08,0.24,0.06,11-05-2010,
/games/boxart/full_7733580AmericaFrontccc.jpg,Just Dance 2019,NS,Music,Ubisoft,Ubisoft Paris,,0.76,0.43,,0.26,0.07,23-10-2018,28-09-2018
/games/boxart/full_483139AmericaFrontccc.jpg,Just Dance 2018,NS,Music,Ubisoft,Ubisoft Paris,8,0.76,0.3,,0.4,0.06,24-10-2017,06-04-2018
/games/boxart/full_2198926AmericaFrontccc.jpg,My Baby Girl,DS,Simulation,SouthPeak Interactive,Dancing Dots,,0.76,0.61,,0.09,0.06,04-11-2008,
/games/boxart/6475403ccc.jpg,Kane & Lynch: Dead Men,X360,Shooter,Eidos Interactive,IO Interactive,6.8,0.76,0.36,0.01,0.31,0.08,13-11-2007,
